Book_ID,publishDate,firstPublishDate
2767052,14/09/2008,
2,28/09/2004,21/06/2003
2657,23/05/2006,07/11/1960
1885,10/10/2000,28/01/2013
41865,09/06/2006,10/05/2005
19063,14/03/2006,09/01/2005
170448,28/04/1996,17/08/1945
11127,16/09/2002,28/10/1956
30,25/09/2012,20/10/1955
18405,04/01/1999,30/06/1936
11870085,01/10/2012,
386162,23/06/2007,10/12/1979
370493,10/07/1964,28/10/1964
6185,28/10/2002,28/12/1947
968,28/03/2006,18/03/2003
929,22/11/2005,23/09/1997
5297,06/01/2004,20/07/1990
24213,12/01/2000,28/10/1971
10210,02/04/2003,16/10/1947
24280,03/03/1987,28/10/1962
13079982,29/11/2011,19/10/1953
13335037,28/02/2012,25/04/2011
7624,10/01/1999,17/09/1954
18135,01/01/2004,28/10/1995
18144590,15/04/2014,28/10/1988
7144,31/12/2002,28/10/1966
22628,28/02/1999,
4671,28/09/2004,04/10/1925
256683,27/03/2007,
375802,30/09/2004,28/10/1985
4667024,02/10/2009,
8127,05/06/2003,28/10/2008
3,11/01/2003,26/06/1997
157993,29/06/2000,04/06/1943
24178,10/01/2001,15/10/1952
890,01/08/2002,28/10/1937
18619684,23/09/2013,07/05/2003
17245,05/12/1986,26/05/1997
5129,09/01/1998,28/10/1932
320,24/06/2003,28/10/1967
5107,30/01/2001,16/07/1951
21787,15/07/2003,09/01/1973
28187,03/01/2006,28/06/2005
2998,09/01/1998,28/10/2010
128029,06/01/2007,22/05/2007
33574273,11/07/2017,28/10/1962
13496,28/08/2005,08/06/1996
2956,31/12/2002,12/01/1984
12232938,09/01/2006,07/03/2002
231804,09/01/1997,24/04/1967
19543,28/10/2000,19/04/1963
23772,28/10/1988,28/06/1960
1381,30/11/2006,28/10/2000
4214,29/08/2006,09/11/2001
1953,28/10/2003,26/11/1959
43641,05/01/2007,28/05/2006
7604,28/10/1995,28/09/1955
4981,01/12/1999,28/10/1969
35031085,03/08/2018,28/10/2018
77203,28/05/2004,29/05/2003
38447,28/04/1998,28/08/1985
3636,24/01/2006,26/04/1993
168668,09/04/2004,11/10/1961
44767458,10/01/2019,28/06/1965
5043,02/04/2002,28/10/1989
149267,05/01/1990,10/03/1978
3590,22/10/1998,28/10/1992
76620,28/06/1975,28/11/1972
2623,28/10/1998,28/07/1961
1934,04/06/2004,30/09/1968
6514,28/10/2006,28/01/1963
136251,21/07/2007,
332613,02/01/1963,28/10/1962
15823480,16/10/2012,28/10/1977
10964,26/07/2005,06/01/1991
10917,02/01/2005,04/06/2004
39988,06/01/1998,10/01/1988
3263607,28/03/2073,29/07/1954
2429135,16/09/2008,28/08/2005
17899948,17/12/2013,28/08/1938
40961427,09/03/2013,06/08/1949
52892857,12/10/2019,28/10/1982
14891,30/05/2006,18/08/1943
41817486,21/05/2019,28/10/1962
6288,10/02/2006,26/09/2006
4934,14/06/2002,18/11/1979
252577,10/03/2005,09/05/1996
345627,16/08/2007,
52036,12/01/1981,28/10/2022
7244,07/05/2005,24/09/1998
119322,16/04/1996,07/09/1995
3836,25/02/2003,28/10/2005
662,08/01/1999,28/10/1957
5,05/01/2004,07/08/1999
2165,28/10/1996,09/01/1952
33648131,01/05/2000,10/01/1996
99107,10/01/2001,14/10/1926
23919,15/08/1984,28/10/1949
43763,31/08/2004,04/12/1976
4473,28/10/1990,28/03/1989
153747,21/02/2003,18/10/1951
4989,28/10/1997,28/10/1997
37435,28/01/2003,11/08/2001
6,28/09/2002,07/08/2000
7171637,31/08/2010,
1,16/09/2006,16/07/2005
